original_lon,original_lat,distance,formatted,lat,lon,name,housenumber,street,postcode,district,suburb,city,county,state,state_code,country,country_code,attribution,attribution_license,attribution_url
"-73,584198","45,46069",0,"1520 Rue De Champigny, Montreal, QC H4E 1G8, Canada",45.46069,-73.584198,,1520,Rue De Champigny,H4E 1G8,Le Sud-Ouest,Côte Saint Paul,Montreal,Montreal,Quebec,QC,Canada,ca,© OpenAddresses contributors,BSD-3-Clause License,
"-74,030022","45,42605",0.03425920968223145,"22 Chemin de l'Île, L'Île-Cadieux, QC J7V 8P3, Canada",45.4260497,-74.0300221,,22,Chemin de l'Île,J7V 8P3,,,L'Île-Cadieux,Vaudreuil-Soulanges,Quebec,QC,Canada,ca,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-75,675038","45,717133",340.53846767224474,"550 Chemin de Val-du-Lac, Val-des-Monts, QC J8N 4J8, Canada",45.7143776,-75.6769525,,550,Chemin de Val-du-Lac,J8N 4J8,,,Val-des-Monts,Les Collines-de-l'Outaouais,Quebec,QC,Canada,ca,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-72,6672576003148","46,2886801",0,"50 Rue de la Forêt, Trois-Rivières, QC G9B 6W4, Canada",46.2886801,-72.66725760031483,,50,Rue de la Forêt,G9B 6W4,,Pointe-du-Lac,Trois-Rivières,,Quebec,QC,Canada,ca,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-72,5963029792884","46,3322484352174",3.6346843755482097e-9,"3105 Rue Duberger, Trois-Rivières, QC G8Z 4B5, Canada",46.332248435217416,-72.59630297928844,,3105,Rue Duberger,G8Z 4B5,,Trois-Rivières-Ouest,Trois-Rivières,,Quebec,QC,Canada,ca,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-72,598992","46,335553",0.03266028438460845,"5860 Rue de Versailles, Trois-Rivières, QC G8Y 3N1, Canada",46.3355529,-72.5989924,,5860,Rue de Versailles,G8Y 3N1,,Trois-Rivières-Ouest,Trois-Rivières,Francheville,Quebec,QC,Canada,ca,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-74,195468","46,29363",0,"67 Chemin du Lac Beauchamp, Saint-Donat, QC J0T 2C0, Canada",46.29363,-74.195468,,67,Chemin du Lac Beauchamp,J0T 2C0,,,Saint-Donat,Matawinie,Quebec,QC,Canada,ca,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-73,6835658130463","45,7043942166805",2.7144246507454643e-9,"62 Rue de Chambéry, Terrebonne, QC J6X 2J1, Canada",45.704394216680484,-73.68356581304627,,62,Rue de Chambéry,J6X 2J1,Plateaux,,Terrebonne,Les Moulins,Quebec,QC,Canada,ca,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-73,509218","45,669132",0,"3470 Rue François-Harel, Montreal, QC H1A 1C2, Canada",45.669132,-73.509218,,3470,Rue François-Harel,H1A 1C2,Rivière-des-Prairies–Pointe-aux-Trembles,Pointe-aux-Trembles,Montreal,Montreal,Quebec,QC,Canada,ca,© OpenAddresses contributors,BSD-3-Clause License,
"-74,8610452","46,3903086",0,"Route 117, Rivière-Rouge, QC J0T 2X0, Canada",46.3903086,-74.8610452,Route 117,,Route 117,J0T 2X0,,,Rivière-Rouge,Antoine-Labelle,Quebec,QC,Canada,ca,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"-63,683097","44,705233",0,"78 Stockton Rg, Bedford, NS B4A 0E3, Canada",44.705233,-63.683097,,78,Stockton Rg,B4A 0E3,,,Bedford,Halifax,Nova Scotia,NS,Canada,ca,© OpenAddresses contributors,BSD-3-Clause License,
"-72,738756","46,512659",0.03984491432281143,"755 133e Rue, Shawinigan, QC G9P 1R6, Canada",46.5126591,-72.7387555,,755,133e Rue,G9P 1R6,,Shawinigan-Sud,Shawinigan,Shawinigan,Quebec,QC,Canada,ca,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
